number,throttle,steer
1,0,90
2,0,90
3,0,90
4,0,90
5,0,80
6,0,80
7,0,70
8,0,70
9,0,90
10,0,100
11,0,100
12,0,100
13,0,90
14,0,90
15,0,90
16,0,90
17,0,80
18,0,90
19,0,90
20,0,90
21,0,90
22,0,90
23,0,90
24,0,90
25,0,90
26,0,90
27,11,90
28,14,80
29,20,80
30,25,80
31,35,90
32,35,90
33,35,90
34,25,90
35,18,90
36,14,90
37,0,90
38,0,90
39,0,90
40,0,90
41,0,90
42,0,90
43,0,90
44,11,90
45,0,90
46,11,90
47,11,90
48,12,80
49,14,80
50,16,80
51,14,80
52,24,80
53,25,80
54,24,80
55,27,80
56,27,80
57,25,80
58,25,80
59,25,80
60,24,90
61,22,90
62,22,90
63,20,90
64,22,90
65,24,90
66,24,100
67,22,90
68,20,90
69,16,90
70,12,90
71,11,90
72,11,90
73,0,80
74,11,80
75,0,80
76,12,80
77,12,80
78,11,70
79,0,80
80,0,70
81,0,70
82,0,70
83,0,70
84,0,80
85,0,70
86,14,80
87,20,80
88,22,80
89,24,80
90,24,80
91,25,90
92,25,90
93,24,90
94,22,90
95,22,90
96,20,90
97,25,90
98,25,90
99,22,90
100,20,90
101,18,90
102,14,90
103,16,90
104,16,90
105,14,80
106,14,70
107,12,70
108,12,70
109,11,70
110,0,80
111,0,80
112,0,80
113,0,90
114,12,90
115,14,90
116,14,100
117,16,100
118,18,100
119,20,90
120,20,90
121,20,90
122,20,90
123,20,90
124,25,90
125,25,90
126,25,90
127,25,90
128,24,90
129,22,90
130,18,90
131,18,80
132,14,80
133,16,80
134,14,80
135,18,80
136,18,80
137,16,80
138,16,80
139,16,80
140,14,80
141,12,80
142,12,80
143,12,80
144,11,80
145,0,80
146,12,80
147,12,80
148,16,80
149,16,80
150,16,80
151,18,90
152,18,90
153,16,90
154,16,80
155,20,90
156,20,90
157,12,80
158,12,80
159,20,90
160,18,90
161,20,90
162,20,90
163,20,80
164,18,80
165,16,80
166,16,80
167,16,80
168,14,80
169,22,80
170,20,80
171,20,80
172,20,80
173,18,70
174,18,70
175,16,80
176,18,80
177,16,80
178,16,80
179,16,90
180,20,90
181,18,90
182,22,90
183,20,100
184,20,100
185,18,100
186,18,100
187,18,100
188,16,100
189,16,90
190,14,90
191,16,90
192,18,90
193,20,90
194,18,90
195,20,90
196,20,90
197,18,90
198,18,90
199,16,80
200,14,80
201,14,80
202,16,80
203,18,80
204,20,80
205,20,80
206,18,80
207,16,80
208,16,80
209,16,80
210,14,80
211,16,80
212,14,80
213,14,80
214,20,90
215,20,90
216,20,90
217,20,90
218,18,90
219,18,80
220,16,80
221,16,80
222,16,80
223,14,80
224,16,80
225,20,90
226,20,90
227,20,90
228,18,80
229,18,80
230,16,80
231,16,80
232,14,80
233,14,80
234,14,80
235,20,70
236,18,60
237,20,70
238,20,70
239,18,80
240,18,80
241,16,90
242,18,100
243,14,100
244,14,100
245,14,90
246,12,90
247,18,90
248,16,90
249,20,90
250,18,90
251,18,90
252,16,90
253,20,90
254,14,80
255,14,80
256,12,80
257,12,80
258,20,80
259,20,80
260,18,80
261,16,80
262,16,80
263,12,80
264,11,70
265,12,80
266,11,80
267,12,70
268,18,80
269,16,80
270,18,80
271,18,80
272,16,90
273,14,90
274,14,90
275,12,90
276,12,90
277,12,90
278,12,90
279,12,90
280,16,90
281,22,90
282,20,90
283,20,90
284,22,90
285,16,80
286,18,90
287,22,90
288,20,100
289,20,100
290,20,90
291,16,90
292,14,90
293,14,90
294,14,90
295,20,90
296,14,80
297,22,90
298,22,90
299,20,80
300,20,80
301,20,80
302,18,80
303,18,80
304,16,80
305,11,80
306,0,80
307,0,80
308,12,80
309,14,90
310,14,90
311,14,90
312,14,90
313,14,90
314,14,90
315,14,80
316,12,80
317,12,80
318,12,80
319,16,80
320,18,80
321,20,80
322,18,70
323,18,80
324,16,80
325,16,70
326,12,70
327,20,80
328,14,80
329,14,80
330,18,90
331,14,90
332,16,100
333,18,100
334,18,100
335,16,90
336,14,90
337,14,90
338,14,90
339,12,90
340,14,90
341,18,90
342,20,90
343,20,80
344,20,80
345,20,80
346,18,80
347,18,80
348,16,80
349,16,80
350,14,80
351,14,80
352,18,80
353,22,80
354,20,70
355,20,80
356,20,80
357,16,80
358,18,80
359,16,80
360,16,90
361,18,90
362,20,90
363,20,90
364,20,90
365,20,90
366,20,90
367,18,90
368,18,90
369,16,90
370,14,90
371,12,90
372,11,90
373,11,90
374,16,90
375,18,90
376,20,90
377,20,90
378,18,90
379,14,90
380,11,80
381,11,80
382,0,80
383,11,80
384,16,90
385,16,90
386,18,90
387,16,90
388,16,90
389,16,90
390,14,90
391,14,90
392,14,80
393,12,80
394,12,80
395,12,80
396,18,80
397,18,80
398,16,70
399,14,70
400,16,80
401,14,80
402,14,80
403,12,80
404,18,80
405,12,80
406,12,80
407,18,80
408,20,90
409,20,90
410,20,90
411,18,90
412,18,90
413,18,90
414,16,90
415,16,100
416,14,100
417,14,100
418,18,100
419,22,100
420,22,100
421,20,90
422,20,90
423,18,90
424,16,90
425,18,90
426,14,80
427,16,90
428,20,90
429,22,90
430,18,90
431,22,90
432,20,90
433,20,90
434,14,80
435,22,90
436,14,80
437,14,80
438,14,80
439,14,80
440,20,90
441,22,90
442,20,90
443,20,90
444,20,90
445,18,90
446,18,90
447,16,90
448,16,90
449,16,90
450,14,90
451,16,80
452,22,90
453,22,90
454,22,90
455,20,90
456,18,90
457,18,90
458,18,90
459,16,80
460,16,80
461,14,80
462,14,80
463,18,80
464,22,90
465,20,90
466,20,80
467,20,80
468,16,80
469,16,80
470,16,80
471,22,80
472,20,80
473,16,80
474,20,80
475,20,80
476,20,80
477,16,80
478,16,80
479,18,80
480,16,80
481,16,80
